"","Player","Nation","Pos","Squad","Age","League","Year","DefPred"
"551","S. Owor","Xikong","DF","Coy Sunbirds",29,"D","2020",15.1141666666667
"52","B. Longoli","Djipines","DF","Horrible Storm",30,"A","2020",15.1152666666667
"902","P. Alobo","Nganion","DF","Punctual Leopards",26,"E","2020",15.116
"1428","B. Waon","Badad","DF","Wet Monarchs",24,"B","2021",15.1239666666667
"128","J. Sanyu","People's Land of Maneau","DF","Somber Bombers",19,"A","2020",15.1269
"1463","S. Armah","Mico","FWDF","Blue Jaguars",24,"C","2021",15.1299666666667
"650","L. Schmid","Sobianitedrucy","DF","Mighty Monkeys",24,"D","2020",15.1307
"1066","J. Teko","Sobianitedrucy","DF","Fanatical Outlaws",32,"A","2021",15.1337
"917","G. Varma","Nganion","DF","Sassy Knights",25,"E","2020",15.1403666666667
"1898","C. Roux","Nganion","DF","Delta Colts",34,"E","2021",15.1411
"633","D. Henriksen","Byasier Pujan","DF","Mean Wolves",22,"D","2020",15.1443333333333
"291","S. Lamptey","Manlisgamncent","DF","Somber Stallions",19,"B","2020",15.1450666666667
"1340","B. Nakabugo","Sina Daofra","MFDF","Simple Privateers",32,"B","2021",15.149
"1377","N. Ferhatovi?","Rosvi","DF","Swift Rustlers",19,"B","2021",15.1575666666667
"708","U. Cruz","Sobianitedrucy","DFMF","Rowdy Clippers",26,"D","2020",15.1605333333333
"56","H. Steiner","People's Land of Maneau","DF","Horrible Storm",21,"A","2020",15.1654666666667
"2053","A. binti Zakaria","Zacia Lygia","DF","Sassy Knights",31,"E","2021",15.1656
"1616","A. Aceng","Esia","DF","Weak Chargers",24,"C","2021",15.1799333333333
"1563","D. Musimenta","Esia","DF","Spicy Gophers",23,"C","2021",15.1864333333333
"1512","E. Oh","Esia","MFDF","Marvelous Anchors",21,"C","2021",15.1974666666667
"715","V. Siregar","Nganion","DF","Serious Ranchers",16,"D","2020",15.1985
"990","L. Tambala","Rarita","DF","Educated Avengers",34,"RFL","2020",15.2005333333333
"973","L. Alqahtani","Nganion","DF","Ultimate Penguins",26,"E","2020",15.2043
"1808","D. Onzia","Desaintko","DF","Serious Ranchers",29,"D","2021",15.2096
"263","F. Olinga","Dosqaly","DF","Simple Jayhawks",27,"B","2020",15.2104
"372","Y. Jokinen","Dosqaly","FWDF","Wet Monarchs",26,"B","2020",15.2126
"895","B. Lindberg","Rosvi","DFFW","Polar Kangaroos",21,"E","2020",15.2176333333333
"1041","R. Obi","Giumle Lizeibon","DF","Walking Runners",32,"RFL","2020",15.2188333333333
"1573","H. Nandawula","Mico","DFMF","Spicy Gophers",28,"C","2021",15.2248
"1553","T. Dietrich","Dosqaly","DF","Silver Frogs",27,"C","2021",15.2260333333333
"1039","C. Koo","Biarizea","DF","Walking Runners",25,"RFL","2020",15.2324666666667
"1093","I. binti Omar","Djipines","DFMF","Great Galactic Gorgons",19,"A","2021",15.2365
"1365","O. Alon","Dosqaly","DF","Supreme Janes",29,"B","2021",15.2374
"1889","L. Ricci","Nganion","DF","Deferred Dolphins",33,"E","2021",15.2410333333333
"518","F. Asare","Reugha","DF","Ultimate Longhorns",23,"C","2020",15.2425666666667
"859","T. Ssekyanzi","Nancipenuaroe","DF","Mighty Jimmies",22,"E","2020",15.2454
"1982","C. Yousef","Nganion","DF","Orange Giants",21,"E","2021",15.2501
"1080","K. Gonçalves","Quewenia","FWDF","Fighting Cougars",21,"A","2021",15.2630666666667
"203","K. Mpirirwe","Iverde","DFMF","Golden Rustlers",23,"B","2020",15.2686666666667
"1848","H. Olowo","Nganion","DFFW","Strange Pioneers",20,"D","2021",15.2694
"1557","W. Okeke","Quewenia","DF","Silver Frogs",25,"C","2021",15.2711333333333
"241","K. Amer","Dosqaly","DF","Overconfident Kangaroos",21,"B","2020",15.2742
"554","L. Zuki?","Naguayli","DF","Deranged Defenders",21,"D","2020",15.2771
"1221","H. Makoni","Slandsganiamayotteque","DF","Weak Tornadoes",22,"A","2021",15.2808666666667
"1588","D. Jansson","Biarizea","FWDF","Supreme Jaguars",22,"C","2021",15.2830666666667
"1882","C. Sulaiman","Dosqaly","DF","Deferred Dolphins",27,"E","2021",15.2845
"867","F. Taruvinga","Greri Landmoslands","DF","Orange Giants",27,"E","2020",15.2919666666667
"2016","I. Eriksen","Nganion","DF","Punctual Leopards",19,"E","2021",15.294
"615","F. Ahebwa","Sobianitedrucy","DF","Marvelous Heels",19,"D","2020",15.3002333333333
"455","T. Namara","Rosvi","DF","Punctual Archers",30,"C","2020",15.3060666666667
"2083","S. Baig","Nganion","DF","Swift Bison",22,"E","2021",15.3074333333333
"2121","N. Nafuna","Rosvi","DF","Mad Wolverines",36,"RFL","2021",15.3126333333333
"837","J. Zacarias","Janmico","DF","Mad Bees",24,"E","2020",15.3235666666667
"234","K. Nambi","Nancipenuaroe","DF","Lady Ocelots",21,"B","2020",15.3235666666667
"822","B. Neméth","Lefghau","MFDF","Flying Penguins",23,"E","2020",15.3284
"1312","E. Schmitz","Dosqaly","DF","Serious Thunderbirds",21,"B","2021",15.3342
"139","H. bin Ibrahim","Imaar Vircoand","DF","Stacked Rocks",21,"A","2020",15.3344666666667
"124","O. binti Mohamad","Djipines","DF","Somber Bombers",27,"A","2020",15.3352666666667
"1007","G. Kiggundu","Ingre","DF","Great Pandas",30,"RFL","2020",15.3363333333333
"737","F. Hang","Rarita","DFMF","Spicy Pointers",24,"D","2020",15.3365666666667
"604","Q. Krasniqi","Sobianitedrucy","DFMF","Hideous Spartans",18,"D","2020",15.3388666666667
"638","K. Nambi","Nancipenuaroe","DF","Mean Wolves",21,"D","2020",15.3525333333333
"674","B. Colin","Loco Phirema","DF","Red Rangers",25,"D","2020",15.3533666666667
"2018","P. Alobo","Nganion","DF","Punctual Leopards",27,"E","2021",15.3623
"53","F. Shkreli","Dosqaly","DF","Horrible Storm",24,"A","2020",15.3693333333333
"2115","G. Rousseau","People's Land of Maneau","DF","Mad Wolverines",30,"RFL","2021",15.3706333333333
"644","N. Terzi?","Esia","DF","Mighty Monkeys",21,"D","2020",15.381
"1187","X. Heikkilä","People's Land of Maneau","DF","Somber Bombers",26,"A","2021",15.3931
"1551","B. Umaru","Esia","FWDF","Serious Cyclones",22,"C","2021",15.3952333333333
"774","X. Nakong","Sobianitedrucy","DF","Wet Flames",27,"D","2020",15.3997
"333","D. Nangiro","Greri Landmoslands","DF","Unethical Comets",28,"B","2020",15.4046666666667
"1056","R. Taketa","Rarita","DF","Wild Hornets",22,"RFL","2020",15.4048
"1323","F. Olinga","Dosqaly","DF","Simple Jayhawks",28,"B","2021",15.4049333333333
"1268","T. Muhumuza","Reugha","DF","Jumping Beans",19,"B","2021",15.4094333333333
"494","S. Kyobutungi","Esia","DF","Supreme Jaguars",17,"C","2020",15.4116666666666
"687","P. Sanyu","Lefghau","DF","Remarkable Flames",28,"D","2020",15.4156
"375","P. Konadu","Giumle Lizeibon","DF","Awkward Trailblazers",21,"C","2020",15.4231333333333
"84","N. Kaiser","People's Land of Maneau","MFDF","Odd Ducks",29,"A","2020",15.4255
"997","F. Namukasa","Rarita","DF","Golden Cadets",24,"RFL","2020",15.4299
"332","R. Dube","Dosqaly","DF","Unethical Comets",20,"B","2020",15.4385666666667
"2049","K. Byakatonda","Nganion","DF","Sassy Knights",28,"E","2021",15.4386666666667
"719","K. Kwarteng","Sobianitedrucy","DF","Serious Ranchers",19,"D","2020",15.4454
"1921","J. Zacarias","Janmico","DF","Flying Penguins",25,"E","2021",15.4457
"812","D. Egger","Janmico","DF","Flying Penguins",31,"E","2020",15.4504666666667
"1025","Y. Boyer","Rarita","DFMF","Mad Cardinals",19,"RFL","2020",15.4533333333333
"1134","Z. Nakagawa","People's Land of Maneau","DF","Mighty Jays",22,"A","2021",15.4537666666667
"1043","P. Sharon","Ingre","DF","Walking Runners",35,"RFL","2020",15.4561666666667
"780","A. Barbieri","Nganion","DF","Deferred Dolphins",31,"E","2020",15.4587
"1474","Z. Frank","Esia","DF","Fiery Governors",26,"C","2021",15.4599666666667
"1704","W. Katamba","Sobianitedrucy","MFDF","Fighting Wave",21,"D","2021",15.4632333333333
"256","S. Agustina","Lefghau","DF","Serious Thunderbirds",28,"B","2020",15.4683666666667
"1569","A. Soltani","Southern Ristan","DF","Spicy Gophers",21,"C","2021",15.4742333333333
"1002","G. Oduro","Rarita","DFFW","Golden Cadets",24,"RFL","2020",15.4785666666667
"564","R. Paris","Western Niasland","DFMF","Deranged Defenders",20,"D","2020",15.4867
"1586","A. Nantege","Lefghau","DFFW","Supreme Jaguars",25,"C","2021",15.4954333333333
"1199","A. Janssen","People's Land of Maneau","DF","Stacked Rocks",21,"A","2021",15.4959333333333
"614","C. Manjhi","Sobianitedrucy","DF","Marvelous Heels",25,"D","2020",15.4978666666667
"2109","S. Hashemi","Rarita","DF","Educated Avengers",30,"RFL","2021",15.5024333333333
"1941","N. Jørgensen","Nganion","DF","Hideous Spiders",25,"E","2021",15.5074333333333
"1622","T. Mlalazi","Byasier Pujan","DFMF","Weak Chargers",22,"C","2021",15.5090666666667
"817","K. Kastelic","Nganion","DF","Flying Penguins",30,"E","2020",15.5103333333333
"421","E. Nabaasa","Giumle Lizeibon","DF","Little Lollipops",26,"C","2020",15.5121666666667
"2084","R. Ueta","Sobianitedrucy","DF","Swift Bison",27,"E","2021",15.5134
"328","Y. Peter","Central Namemo Laand","DF","Unethical Comets",28,"B","2020",15.5143666666667
"1402","J. Mutyaba","Dosqaly","MFDF","Unethical Comets",30,"B","2021",15.5185666666667
"1536","P. Turyatunga","Mico","DF","Red Artichokes",25,"C","2021",15.5231333333333
"548","J. Otoo","Sobianitedrucy","DF","Coy Sunbirds",21,"D","2020",15.5283333333333
"926","K. Asadi","Lefghau","DF","Screaming Ramblers",25,"E","2020",15.5293333333333
"444","I. Sinani","Mico","DF","Mean Trolls",22,"C","2020",15.5320666666667
"469","R. Sari","Byasier Pujan","DF","Silver Frogs",27,"C","2020",15.5321
"952","Q. Namazzi","Nganion","DF","Swift Bison",24,"E","2020",15.5396333333333
"1000","Y. Alzahrani","Rarita","DF","Golden Cadets",27,"RFL","2020",15.5397666666667
"528","O. Sánchez","Esia","DF","Weak Chargers",24,"C","2020",15.5422333333333
"1009","E. Nyirenda","Rarita","DF","Great Pandas",22,"RFL","2020",15.5523
"1120","D. Yusof","Nkasland Cronestan","DF","Horrible Storm",22,"A","2021",15.5542
"1628","U. Colin","Esia","MFDF","Weak Chargers",23,"C","2021",15.5561
"739","C. Haas","Janmico","DF","Strange Pioneers",27,"D","2020",15.5603333333333
"1775","M. Angom","Sobianitedrucy","DF","Mighty Monkeys",29,"D","2021",15.5637
"17","O. Ilukol","Sobianitedrucy","DF","Fighting Cougars",30,"A","2020",15.5637333333333
"206","J. Suissa","Coastpa Barleslands","DF","Grotesque Rocks",25,"B","2020",15.5638666666667
"677","L. Fuchs","Sobianitedrucy","DF","Red Rangers",27,"D","2020",15.5683
"2108","R. Namutebi","Rarita","DF","Educated Avengers",22,"RFL","2021",15.5698333333333
"776","S. Sanchez","Imaar Vircoand","DFMF","Wet Flames",32,"D","2020",15.5725666666667
"1881","K. Harada","Nganion","MFDF","Big Foxes",23,"E","2021",15.5728333333333
"741","B. Savolainen","Lefghau","DF","Strange Pioneers",25,"D","2020",15.5745333333333
"1672","X. Ssenyonjo","New Uwi","DF","Coy Sunbirds",18,"D","2021",15.5769333333333
"1213","E. Kühn","Dosqaly","DFMF","Swift Musketeers",21,"A","2021",15.5788
"2078","C. Nalwadda","Greri Landmoslands","DF","Swift Bison",23,"E","2021",15.5824666666667
"1352","R. binti Mohamed","Coastpa Barleslands","FWDF","Solemn Leopards",20,"B","2021",15.5876666666667
"922","A. binti Zakaria","Zacia Lygia","DF","Sassy Knights",30,"E","2020",15.5885
"1899","D. Ngo","Nganion","DF","Delta Colts",31,"E","2021",15.5913666666667
"702","O. Louis","Sobianitedrucy","DF","Rowdy Clippers",22,"D","2020",15.5949
"1367","I. Nantale","Lefghau","DF","Supreme Janes",30,"B","2021",15.5959
"918","J. Chan","Nganion","DF","Sassy Knights",31,"E","2020",15.5975333333333
"1524","K. Molina","Esia","DF","Punctual Archers",25,"C","2021",15.6008333333333
"823","G. Nalwoga","Nganion","MFDF","Flying Penguins",29,"E","2020",15.6083666666667
"1124","Y. Aidoo","People's Land of Maneau","DF","Horrible Storm",25,"A","2021",15.6106333333333
"1900","H. Shuaibu","Nganion","DF","Delta Colts",24,"E","2021",15.622
"1413","B. Waon","Badad","DF","Weak Blimps",24,"B","2021",15.6231
"1103","U. Kaahwa","People's Land of Maneau","DF","Green Fleet",17,"A","2021",15.6231333333333
"527","H. Weber","Esia","DF","Weak Chargers",27,"C","2020",15.6335
"1790","J. Riyadi","Sobianitedrucy","MFDF","Red Rangers",21,"D","2021",15.6367333333333
"1626","Z. Möller","Central Republic of Boekrainego","FWDF","Weak Chargers",29,"C","2021",15.6416333333333
"999","P. Dahiru","Rarita","DF","Golden Cadets",23,"RFL","2020",15.6426333333333
"27","I. Najjemba","Southslands","DF","Great Galactic Gorgons",26,"A","2020",15.6482333333333
"2047","H. Kowalski","Nganion","DF","Sassy Knights",28,"E","2021",15.6522333333333
"1438","V. Krisensen","Dosqaly","MFDF","Wet Monarchs",31,"B","2021",15.6573666666667
"2","P. Nakubulwa","Dosqaly","DF","Fanatical Outlaws",22,"A","2020",15.6574666666667
"482","G. Golob","Esia","DF","Spicy Gophers",22,"C","2020",15.6577333333333
"429","E. Maluwa","Esia","DF","Marvelous Anchors",26,"C","2020",15.6598333333333
"639","T. Schulz","Republic of Denand Landsa","DF","Mean Wolves",25,"D","2020",15.6641
"445","A. Fujihara","Quewenia","DF","Mean Trolls",35,"C","2020",15.6724333333333
"779","H. Jansson","Greri Landmoslands","DF","Deferred Dolphins",24,"E","2020",15.6740333333333
"993","V. Mansoor","Rarita","DF","Educated Avengers",30,"RFL","2020",15.6760666666667
"925","I. Leibowitz","Imaar Vircoand","DF","Screaming Ramblers",25,"E","2020",15.679
"1338","P. Otto","Dosqaly","FWDF","Simple Privateers",30,"B","2021",15.6792666666667
"400","M. Watson","Dosqaly","DF","Fiery Governors",23,"C","2020",15.6810333333333
"477","W. Okeke","Quewenia","DF","Silver Frogs",24,"C","2020",15.6849333333333
"378","S. Chemutai","Rosvi","DF","Awkward Trailblazers",23,"C","2020",15.6855333333333
"2119","X. Namuli","People's Land of Maneau","DF","Mad Wolverines",29,"RFL","2021",15.6884333333333
"340","H. Isa","Central Diasongo","DF","Villainous Eagles",32,"B","2020",15.6996
"330","B. Pandit","Dosqaly","DF","Unethical Comets",19,"B","2020",15.7002666666667
"759","P. Tzur","Sobianitedrucy","DF","Sugar Bengals",31,"D","2020",15.7039
"258","D. Dumitru","Czechnor","FWDF","Serious Thunderbirds",24,"B","2020",15.7105333333333
"1282","C. Oloya","Reugha","DF","Mean Colts",25,"B","2021",15.7234
"1017","H. Mande","Liacra","DF","Mad Cardinals",26,"RFL","2020",15.7290333333333
"519","R. Magaya","Esia","DFMF","Ultimate Longhorns",26,"C","2020",15.7302
"1448","S. Nachum","Byasier Pujan","DF","Blue Jaguars",26,"C","2021",15.7328666666667
"479","P. Takahashi","Dosqaly","MFDF","Silver Frogs",28,"C","2020",15.7335
"1012","U. Nakidde","Rarita","DF","Great Pandas",30,"RFL","2020",15.7391666666667
"862","I. Murakami","Nganion","DF","Mighty Jimmies",20,"E","2020",15.7461333333333
"838","C. Benhamou","Nganion","DF","Mad Bees",24,"E","2020",15.7472
"1539","Z. Tanaka","Xikong","DF","Red Artichokes",26,"C","2021",15.7515666666667
"488","A. Soltani","Southern Ristan","DF","Spicy Gophers",20,"C","2020",15.7521666666667
"453","X. Kawooya","Giumle Lizeibon","DF","Punctual Archers",32,"C","2020",15.7555333333333
"300","G. Suad","Lefghau","DF","Supreme Janes",27,"B","2020",15.7674666666667
"1529","Y. Alzahrani","Esia","DF","Punctual Archers",28,"C","2021",15.7689
"441","Q. Fathi","Esia","DF","Mean Trolls",21,"C","2020",15.7707666666667
"864","Q. Rosenberg","Nganion","DF","Mighty Jimmies",27,"E","2020",15.7767333333333
"2077","C. Najafi","Greri Landmoslands","DF","Swift Bison",21,"E","2021",15.7797
"2116","H. Nkiwane","People's Land of Maneau","DF","Mad Wolverines",24,"RFL","2021",15.7908
"74","N. Dekker","Djipines","DF","Odd Ducks",21,"A","2020",15.7912
"1590","X. Phiri","Dosqaly","MFDF","Supreme Jaguars",29,"C","2021",15.7960333333333
"1272","H. Rees","Eastern Covaki","MFDF","Jumping Beans",24,"B","2021",15.7992666666667
"1891","O. Oketcho","Nganion","DF","Deferred Dolphins",23,"E","2021",15.8068333333333
"656","V. Kwiatkowski","Lefghau","DF","Punctual Fire",35,"D","2020",15.8096333333333
"938","L. Khonje","Nganion","DF","Serious Magicians",31,"E","2020",15.8143666666667
"826","Y. Kasozi","Greri Landmoslands","DF","Horrible Bison",25,"E","2020",15.8145333333333
"22","D. Daniel","People's Land of Maneau","DF","Great Galactic Gorgons",26,"A","2020",15.8183666666667
"259","U. Madondo","Dosqaly","FWDF","Serious Thunderbirds",22,"B","2020",15.8192
"1927","O. Balog","Rarita","DFMF","Flying Penguins",28,"E","2021",15.8197666666667
"368","L. bin Osman","Dosqaly","DF","Wet Monarchs",27,"B","2020",15.8199333333333
"2002","G. Kintu","Manlisgamncent","DF","Polar Kangaroos",28,"E","2021",15.8208666666667
"1987","P. Farina","Nganion","MFDF","Orange Giants",28,"E","2021",15.8380333333333
"1084","F. Kembabazi","People's Land of Maneau","DF","Great Galactic Gorgons",23,"A","2021",15.8382333333333
"727","B. binti Othman","Imaar Vircoand","DF","Spicy Pointers",21,"D","2020",15.8431333333333
"597","E. Ghosh","Sobianitedrucy","DF","Hideous Spartans",29,"D","2020",15.8494333333333
"439","D. Domingos","Esia","DF","Mean Trolls",23,"C","2020",15.8503333333333
"1072","G. Köhler","People's Land of Maneau","DF","Fighting Cougars",26,"A","2021",15.8511333333333
"2114","L. Petrenko","Frenchdo Stanser","DF","Mad Wolverines",29,"RFL","2021",15.8552
"1932","M. Braun","Zacia Lygia","MFDF","Flying Penguins",22,"E","2021",15.8610333333333
"589","N. Mushabe","Lefghau","DF","Flying Bombadiers",35,"D","2020",15.8678666666667
"207","E. Fujii","Dosqaly","DF","Grotesque Rocks",19,"B","2020",15.8729666666667
"152","P. Ferri","Highhlaands","DF","Sugar Storm",21,"A","2020",15.8852
"815","N. Nassiri","Janmico","DF","Flying Penguins",21,"E","2020",15.8876
"1777","S. Lutaaya","Dosqaly","DFMF","Mighty Monkeys",22,"D","2021",15.8904666666667
"898","T. Lam","Nancipenuaroe","DF","Punctual Leopards",23,"E","2020",15.8916333333333
"1395","B. Pandit","Dosqaly","DF","Unethical Comets",20,"B","2021",15.8928333333333
"1990","L. Kimuli","Nathuacamana","DF","Plane Janes",22,"E","2021",15.8958
"782","G. Pérez","Nganion","DF","Deferred Dolphins",26,"E","2020",15.8992
"484","N. Kiss","Esia","DF","Spicy Gophers",18,"C","2020",15.9001666666667
"1746","R. Ueta","Sobianitedrucy","DF","Marvelous Heels",27,"D","2021",15.9002
"1647","B. Nambuya","Dosqaly","DFFW","Wicked Gentlefolk",19,"C","2021",15.9008333333333
"1013","U. Sorrentino","Rarita","DF","Great Pandas",25,"RFL","2020",15.9060666666667
"19","G. Köhler","People's Land of Maneau","DFFW","Fighting Cougars",25,"A","2020",15.9121
"963","S. Jimoh","Nganion","DF","Swift Marauders",30,"E","2020",15.9144
"493","X. Phiri","Dosqaly","DF","Supreme Jaguars",28,"C","2020",15.9184333333333
"1625","O. Sánchez","Esia","DFMF","Weak Chargers",25,"C","2021",15.9236666666667
"1608","F. Asare","Reugha","DF","Ultimate Longhorns",24,"C","2021",15.9250333333333
"2024","M. Nurhayati","Nganion","DF","Rabid Greyhounds",24,"E","2021",15.9302666666667
"272","M. Ma","Central Namemo Laand","DF","Simple Privateers",18,"B","2020",15.9303
"1156","G. Tukwasibwe","Dosqaly","DFFW","Punctual Rustlers",19,"A","2021",15.9310333333333
"2045","X. Muzaki","Imaar Vircoand","DF","Sassy Knights",33,"E","2021",15.938
"1169","Z. Kayendeke","People's Land of Maneau","DF","Silver Heels",20,"A","2021",15.9411333333333
"605","Q. Juhász","Janmico","MFDF","Hideous Spartans",23,"D","2020",15.9428
"714","A. Maposa","Nganion","DF","Serious Ranchers",28,"D","2020",15.9524333333333
"1479","Q. Tshia","Esia","FWDF","Fiery Governors",20,"C","2021",15.9579
"151","U. Vitale","Esia","DF","Sugar Storm",26,"A","2020",15.959
"1008","B. Omirambe","Rarita","DF","Great Pandas",27,"RFL","2020",15.962
"398","R. Sari","Byasier Pujan","DF","Fiery Governors",27,"C","2020",15.9648
"1152","A. Tumuhaise","People's Land of Maneau","DF","Punctual Rustlers",22,"A","2021",15.9649333333333
"665","N. Tamura","Sobianitedrucy","DF","Punctual Fire",27,"D","2020",15.9665666666667
"1164","B. Masika","People's Land of Maneau","DF","Silver Heels",30,"A","2021",15.9704
"1603","F. Mutandwa","Esia","DF","Ultimate Longhorns",28,"C","2021",15.9717
"1991","D. Akia","Nganion","DF","Plane Janes",28,"E","2021",15.9751333333333
"1227","F. Hughes","Thaijagypt","MFDF","Weak Tornadoes",27,"A","2021",15.9754666666667
"866","C. Wanyama","Rosvi","DF","Mighty Jimmies",27,"E","2020",15.9766333333333
"219","X. Oláh","Dosqaly","DF","Hideous Pioneers",21,"B","2020",15.9772
"296","N. Agyapong","Dosqaly","DF","Supreme Janes",21,"B","2020",15.9794666666667
"888","V. Quay","Lefghau","DF","Polar Kangaroos",30,"E","2020",15.9809
"1576","C. Kyaligonza","Esia","DF","Supreme Jaguars",20,"C","2021",15.9887
"79","D. Mwandira","People's Land of Maneau","DF","Odd Ducks",22,"A","2020",15.9898333333333
"2066","S. Wimmer","Nganion","MFDF","Screaming Ramblers",26,"E","2021",15.9901333333333
"1397","R. Dube","Dosqaly","DF","Unethical Comets",21,"B","2021",15.9939
"331","K. Cohen","Dosqaly","DF","Unethical Comets",27,"B","2020",15.9974333333333
"1988","G. Katumba","Biarizea","DF","Plane Janes",26,"E","2021",15.9993
"1890","M. Paterson","Nganion","DF","Deferred Dolphins",19,"E","2021",16.0065666666667
"1665","A. Zulu","Sobianitedrucy","MFDF","Coy Catamarans",22,"D","2021",16.0089
"693","Q. Sumarni","Sobianitedrucy","DF","Remarkable Flames",17,"D","2020",16.0119
"2075","D. Horn","Dosqaly","DF","Swift Bison",29,"E","2021",16.0155333333333
"214","C. Nassiri","Dosqaly","DF","Hideous Pioneers",27,"B","2020",16.0199333333333
"668","J. Manu","Pierrema","DFMF","Punctual Fire",23,"D","2020",16.032
"1931","D. Kau","Southslands","MFDF","Flying Penguins",16,"E","2021",16.0365666666667
"1381","C. Danquah","Byasier Pujan","DF","Unaccountable Foxes",24,"B","2021",16.0646666666667
"1895","C. Negri","Biarizea","DF","Delta Colts",28,"E","2021",16.0667
"155","K. Yousefi","People's Land of Maneau","DF","Sugar Storm",19,"A","2020",16.0674666666667
"2173","H. Oliveira","Rarita","DF","Wild Hornets",18,"RFL","2021",16.0700333333333
"1887","D. Siregar","Nganion","DF","Deferred Dolphins",24,"E","2021",16.0717333333333
"1924","V. Caputo","Nganion","DF","Flying Penguins",32,"E","2021",16.0738666666667
"1886","A. Barbieri","Nganion","DF","Deferred Dolphins",32,"E","2021",16.0781666666667
"654","I. Kolar","Redohrainbri","MFDF","Mighty Monkeys",23,"D","2020",16.0845666666667
"1531","C. Van den Berg *","Redohrainbri","DFMF","Punctual Archers",22,"C","2021",16.0855
"1026","G. Hou","Rarita","MFDF","Mad Cardinals",24,"RFL","2020",16.0872333333333
"1186","V. Abiria","Nganion","DF","Somber Bombers",26,"A","2021",16.1027
"1919","G. Katumba","Biarizea","DF","Flying Penguins",26,"E","2021",16.1036
"1469","I. Khalili","Esia","DF","Fiery Governors",22,"C","2021",16.1038
"261","I. Maes","Badad","DF","Simple Jayhawks",26,"B","2020",16.1171
"204","F. Salonen","Republic of Denand Landsa","FWDF","Golden Rustlers",21,"B","2020",16.1209666666667
"2112","U. Quaye","Southslands","DF","Educated Avengers",29,"RFL","2021",16.1222333333333
"1714","E. Bošnjak","Northslands","DF","Flying Bombadiers",18,"D","2021",16.1272333333333
"905","F. Nagasha","Nganion","DFFW","Punctual Leopards",22,"E","2020",16.1286
"1836","E. Poto?nik","Biarizea","DF","Strange Pioneers",29,"D","2021",16.1346666666667
"919","K. Byakatonda","Nganion","DF","Sassy Knights",27,"E","2020",16.1379
"593","O. Ahamad","Sobianitedrucy","DF","Flying Bombadiers",25,"D","2020",16.1385666666667
"216","O. Monday","Dosqaly","DF","Hideous Pioneers",24,"B","2020",16.1497333333333
"510","K. Yousef","Esia","DFFW","Ultimate Dolphins",18,"C","2020",16.1548
"818","V. Caputo","Nganion","DF","Flying Penguins",31,"E","2020",16.155
"1019","G. Koren","Rarita","DF","Mad Cardinals",23,"RFL","2020",16.1587666666667
"781","D. Siregar","Nganion","DF","Deferred Dolphins",23,"E","2020",16.1661666666667
"1834","C. Grassi","Sobianitedrucy","FWDF","Spicy Pointers",24,"D","2021",16.1693
"2122","O. Demirovi?","Southslands","DF","Mad Wolverines",21,"RFL","2021",16.1788
"796","I. Ochola","Nganion","DFMF","Delta Colts",19,"E","2020",16.1807666666667
"798","H. Shuaibu","Nganion","MFDF","Delta Colts",23,"E","2020",16.1820666666667
"2080","D. Lian","Nganion","DF","Swift Bison",20,"E","2021",16.1832333333333
"1572","U. Tweheyo","Esia","DFMF","Spicy Gophers",30,"C","2021",16.1880333333333
"706","M. Akampurira","Zamlie Niabangthe","DF","Rowdy Clippers",27,"D","2020",16.1915333333333
"785","O. Oketcho","Nganion","DF","Deferred Dolphins",22,"E","2020",16.1921333333333
"923","S. Baig","Nganion","DFMF","Sassy Knights",21,"E","2020",16.1994666666667
"1063","F. Kizito","People's Land of Maneau","DF","Fanatical Outlaws",20,"A","2021",16.2010666666667
"1028","Q. Gruber","Rarita","MFDF","Mad Cardinals",20,"RFL","2020",16.2105666666667
"299","K. Nakku","Former Maneau","DF","Supreme Janes",23,"B","2020",16.2108
"964","Z. Maneno","Nganion","DF","Swift Marauders",33,"E","2020",16.2197666666667
"1055","O. Oketcho","Rarita","DF","Wild Hornets",22,"RFL","2020",16.2213666666667
"1579","U. Kasande","Esia","DF","Supreme Jaguars",20,"C","2021",16.2233333333333
"490","E. Nambafu","Esia","MFDF","Spicy Gophers",29,"C","2020",16.226
"962","Q. Kayondo","Nganion","DF","Swift Marauders",19,"E","2020",16.2274
"1185","Y. Phe","Imaar Vircoand","DF","Somber Bombers",31,"A","2021",16.2324666666667
"83","X. Sartori","People's Land of Maneau","DF","Odd Ducks",20,"A","2020",16.2327333333333
"1204","J. Tse","Dosqaly","DF","Swift Musketeers",18,"A","2021",16.2347
"1094","M. Ludwig","Rarita","DFMF","Great Galactic Gorgons",32,"A","2021",16.2466
"547","I. Janssens","Sobianitedrucy","DF","Coy Sunbirds",32,"D","2020",16.2585
"496","S. Phillips","Nganion","DF","Supreme Jaguars",19,"C","2020",16.2747666666667
"2138","X. Tourgeman","Rarita","DF","Red Anchormen",31,"RFL","2021",16.2749333333333
"2120","O. Rosario","Republic of Denand Landsa","DF","Mad Wolverines",26,"RFL","2021",16.2758666666667
"1077","R. Petrenko","Lefghau","DFMF","Fighting Cougars",25,"A","2021",16.2777333333333
"402","Z. Frank","Esia","DF","Fiery Governors",25,"C","2020",16.2781333333333
"336","H. Afriyie","Dosqaly","DFMF","Unethical Comets",22,"B","2020",16.2822333333333
"1005","K. Kuok","Rarita","DFMF","Golden Cadets",25,"RFL","2020",16.2930666666667
