"","Player","Nation","Pos","Squad","Age","League","Year","FWPred"
"1597","J. Chew","Sobianitedrucy","MFFW","Red Rangers",25,"D","2021",11.0401333333333
"485","F. Kinnunen","Central Diasongo","FWMF","Weak Chargers",33,"C","2020",11.0425333333333
"1086","I. Berg","Tito Mia","FW","Glistening Paladins",25,"B","2021",11.0437666666667
"305","Z. Ogawa","Coastpa Barleslands","MFFW","Villainous Eagles",24,"B","2020",11.0461
"775","U. Woo","Nganion","FWMF","Punctual Leopards",32,"E","2020",11.0494333333333
"45","Z. Makore","People's Land of Maneau","FW","Horrible Grizzlies",21,"A","2020",11.0509333333333
"332","W. Okumu","Unicorporated Tiagascar","FWMF","Wet Monarchs",25,"B","2020",11.0525
"1031","L. Musoki","People's Land of Maneau","FW","Solemn Cougars",33,"A","2021",11.0564
"1631","R. Kato","Manlisgamncent","DFFW","Sugar Bengals",31,"D","2021",11.0575333333333
"1345","M. Bonnet","Giumle Lizeibon","MFFW","Little Lollipops",21,"C","2021",11.0575666666667
"963","C. Gheorghe","Central Diasongo","FW","Green Fleet",18,"A","2021",11.0586333333333
"1591","G. Sserugo","Sobianitedrucy","FW","Red Rangers",31,"D","2021",11.0639333333333
"726","D. Ocokoru","Nganion","FWMF","Mad Kingsmen",27,"E","2020",11.0649333333333
"1067","F. Namajja","Central Badad","FWDF","Weak Tornadoes",25,"A","2021",11.0670666666667
"259","K. Guillaume","Dosqaly","MFFW","Somber Stallions",21,"B","2020",11.0692333333333
"1245","E. König","Dosqaly","FWMF","Unaccountable Foxes",16,"B","2021",11.0705333333333
"141","B. Zheng","Imaar Vircoand","FW","Flawless Cows",26,"B","2020",11.0754333333333
"25","Y. Susanti","Ngoque Blicri","FW","Great Galactic Gorgons",23,"A","2020",11.0798
"1122","H. Kovács","Dosqaly","MFFW","Jumping Beans",18,"B","2021",11.08
"530","R. Namande","Nganion","FWMF","Fighting Clippers",32,"D","2020",11.0808666666667
"1887","D. Lehner","Rarita","MFFW","Serious Buffaloes",32,"RFL","2021",11.0816666666667
"1709","Z. Nakiwala","Rarita","FWMF","Horrible Bison",24,"E","2021",11.089
"1629","A. Anwar","Dosqaly","MFFW","Strange Pioneers",28,"D","2021",11.0908666666667
"1659","B. Lehtonen","Nganion","FWMF","Deferred Dolphins",21,"E","2021",11.0965
"94","F. Diaz","Southern Ristan","FW","Silver Heels",28,"A","2020",11.1009333333333
"1876","B. Sugawara","Greri Landmoslands","MFFW","Marvelous Coyotes",25,"RFL","2021",11.1016
"1368","S. Nakabugo","Republic of Denand Landsa","FW","Punctual Archers",22,"C","2021",11.1053333333333
"676","C. Ajidiru","Nganion","FWMF","Deferred Dolphins",24,"E","2020",11.1097
"1748","S. Kofi","Western Niasland","FW","Plane Janes",33,"E","2021",11.1112
"1221","R. Mkandla","Southern Ristan","FWMF","Supreme Janes",28,"B","2021",11.1201333333333
"516","T. Nasirumbi","Coastpa Barleslands","FW","Deranged Defenders",26,"D","2020",11.1236
"1661","R. Giordano","Nganion","FWMF","Deferred Dolphins",38,"E","2021",11.1255666666667
"1766","L. Nahwera","Nganion","FWMF","Punctual Leopards",17,"E","2021",11.1258666666667
"586","V. Heikkinen","Sobianitedrucy","FW","Mighty Monkeys",36,"D","2020",11.1315666666667
"509","N. Twesigye","Sobianitedrucy","FW","Coy Sunbirds",27,"D","2020",11.1342666666667
"1648","C. Sanna","Nganion","FWMF","Big Foxes",26,"E","2021",11.1370666666667
"1271","I. Irumba","Dosqaly","FWMF","Weak Blimps",20,"B","2021",11.1417333333333
"1785","G. Nadunga","Imaar Vircoand","FW","Running Bigfoots",26,"E","2021",11.1418333333333
"128","L. Hofmann","People's Land of Maneau","FWMF","Sugar Storm",17,"A","2020",11.1482
"24","G. Elbaz","Dosqaly","FW","Great Galactic Gorgons",23,"A","2020",11.1486
"225","C. Nankya","Dosqaly","MFFW","Serious Thunderbirds",18,"B","2020",11.1521666666667
"402","C. Van den Berg *","Redohrainbri","DFFW","Punctual Archers",21,"C","2020",11.1539333333333
"89","M. Vásquez","Lefghau","MFFW","Punctual Rustlers",26,"A","2020",11.1569666666667
"213","Q. Awekonimungu","Dosqaly","FWMF","Overconfident Kangaroos",23,"B","2020",11.157
"640","B. bin Abd Rahman","Sobianitedrucy","FW","Spicy Pointers",20,"D","2020",11.1585333333333
"390","D. Mortenson","Sobianitedrucy","MFFW","Marvelous Anchors",26,"C","2020",11.1585666666667
"249","S. Abdullahi","Dosqaly","FW","Solemn Leopards",26,"B","2020",11.1597333333333
"580","G. Mwima","Sobianitedrucy","FW","Mean Wolves",29,"D","2020",11.1668
"365","A. Ngabirano","Xikong","FWMF","Fiery Governors",25,"C","2020",11.1717666666667
"433","Z. Uy","Quewenia","MFFW","Silver Frogs",28,"C","2020",11.1731333333333
"1032","V. Mudondo","People's Land of Maneau","FW","Solemn Cougars",24,"A","2021",11.1813333333333
"627","X. Byamugisha","Sobianitedrucy","FWMF","Rowdy Clippers",34,"D","2020",11.1818
"844","Y. Atuheire","Nganion","MFFW","Swift Marauders",21,"E","2020",11.1865333333333
"1200","C. Omar","Dosqaly","FW","Solemn Leopards",30,"B","2021",11.1866666666667
"1027","X. Nakanwagi","Southern Ristan","FW","Silver Heels",26,"A","2021",11.1895333333333
"1612","Y. Torres","Rarita","MFFW","Serious Ranchers",24,"D","2021",11.1905
"1688","T. Mendes","Lylimi","MFFW","Flying Penguins",19,"E","2021",11.1922
"1286","A. Serrano","Pierrema","FWMF","Wet Monarchs",27,"B","2021",11.1932666666667
"135","T. Acom","People's Land of Maneau","FW","Swift Musketeers",27,"A","2020",11.1935
"481","P. Nyondo","Byasier Pujan","FW","Weak Chargers",18,"C","2020",11.2000666666667
"1910","H. Amade","Rarita","MFFW","Wild Hornets",20,"RFL","2021",11.2021333333333
"540","G. Abdi","Danan Seekeeling","FW","Flying Bombadiers",28,"D","2020",11.2068333333333
"1907","Z. Kneževi?","Rarita","FW","Wild Hornets",28,"RFL","2021",11.2105666666667
"111","J. P?tersons","Danan Seekeeling","MFFW","Somber Bombers",25,"A","2020",11.2181
"1171","Z. Katusiime","Dosqaly","MFFW","Serious Thunderbirds",31,"B","2021",11.2192
"942","D. John","Pierrema","FWMF","Fanatical Outlaws",24,"A","2021",11.2205666666667
"1601","H. Sat?","Byasier Pujan","FWMF","Remarkable Flames",21,"D","2021",11.2289666666667
"1206","Q. Okiror","Dosqaly","FWMF","Solemn Leopards",33,"B","2021",11.2335333333333
"247","C. Omar","Dosqaly","FW","Solemn Leopards",29,"B","2020",11.2348
"354","E. Bah","Mico","FWMF","Blue Jaguars",20,"C","2020",11.2354333333333
"61","G. Dijkstra","People's Land of Maneau","DFFW","Mighty Jays",17,"A","2020",11.2395666666667
"956","Y. Susanti","Ngoque Blicri","FW","Great Galactic Gorgons",24,"A","2021",11.2455333333333
"650","K. Nakakande","Nancipenuaroe","FW","Strange Pioneers",32,"D","2020",11.2521333333333
"1886","L. Dlamini","Rarita","FWMF","Serious Buffaloes",19,"RFL","2021",11.2524333333333
"397","G. Odoch","Quewenia","FWMF","Mean Trolls",20,"C","2020",11.2530333333333
"867","S. Nabasa","Rarita","MFFW","Black Coyotes",21,"RFL","2020",11.2531333333333
"498","X. James","Mico","FW","White Firebirds",25,"C","2020",11.2544666666667
"644","B. Muduwa","Varijitri Isles","FWMF","Spicy Pointers",25,"D","2020",11.2577
"186","Q. Nampijja","Reugha","FW","Jumping Beans",17,"B","2020",11.2610666666667
"1170","T. Amutuhaire","Dosqaly","MFFW","Serious Thunderbirds",22,"B","2021",11.2663666666667
"399","U. Colin","Esia","MFFW","Mean Trolls",22,"C","2020",11.2672
"1685","V. Pathan","Coastpa Barleslands","FWMF","Flying Penguins",18,"E","2021",11.2674333333333
"315","Y. bin Abu Bakar","Central Namemo Laand","FWMF","Weak Blimps",20,"B","2020",11.2693333333333
"1711","S. Gutiérrez","Nganion","MFFW","Horrible Bison",20,"E","2021",11.2773
"1259","X. Nabaggala","Biarizea","FWMF","Villainous Eagles",26,"B","2021",11.2848333333333
"1046","J. P?tersons","Danan Seekeeling","MFFW","Somber Bombers",26,"A","2021",11.2850666666667
"985","E. Estrada","Frenchdo Stanser","FW","Horrible Storm",25,"A","2021",11.2866666666667
"334","B. Hadži?","Esia","FW","Awkward Trailblazers",24,"C","2020",11.2901333333333
"1413","X. Lunyolo","Esia","FWMF","Spicy Gophers",18,"C","2021",11.2945333333333
"1278","O. Ssenabulya","Pierrema","MFFW","Weak Blimps",20,"B","2021",11.2964333333333
"785","E. Mwesigye","Nganion","FW","Running Bigfoots",18,"E","2020",11.2995333333333
"299","G. Parisi","Rosvi","FW","Unethical Comets",29,"B","2020",11.3006333333333
"1889","L. Mandala","Rarita","MFFW","Serious Buffaloes",30,"RFL","2021",11.3049666666667
"1421","B. Liang","Byasier Pujan","FW","Supreme Jaguars",36,"C","2021",11.3078333333333
"1395","I. Permana","Southern Ristan","FWMF","Serious Cyclones",27,"C","2021",11.3083666666667
"1452","K. Cheung","Biarizea","MFFW","Ultimate Longhorns",22,"C","2021",11.3096666666667
"1795","B. Yang","Manlisgamncent","FW","Sassy Knights",29,"E","2021",11.3139666666667
"291","E. De Santis","Dosqaly","FWMF","Unaccountable Foxes",22,"B","2020",11.3144
"812","P. Paterson","Nganion","DFFW","Serious Magicians",30,"E","2020",11.3160333333333
"1786","E. Mwesigye","Nganion","FW","Running Bigfoots",19,"E","2021",11.3163333333333
"427","C. Chow","Esia","FWMF","Silver Frogs",20,"C","2020",11.3184333333333
"232","A. Salazar","Rarita","FW","Simple Jayhawks",22,"B","2020",11.3196
"974","J. Rukundo","Dosqaly","MFFW","Green Fleet",27,"A","2021",11.3196666666667
"940","W. Lew","Nganion","FWMF","Fanatical Outlaws",24,"A","2021",11.3226666666667
"732","U. Okidi","Nganion","FWMF","Mighty Jimmies",26,"E","2020",11.3283666666667
"1041","D. Athieno","People's Land of Maneau","FW","Somber Bombers",31,"A","2021",11.3338
"504","L. Barman","People's Land of Maneau","MFFW","White Firebirds",21,"C","2020",11.3493
"1215","B. Asamoah","Dosqaly","FW","Supreme Janes",21,"B","2021",11.3494666666667
"196","D. Ochan","Coastpa Barleslands","FW","Lady Ocelots",26,"B","2020",11.3546666666667
"894","E. Mwesigye","Nganion","MFFW","Great Pandas",18,"RFL","2020",11.3550333333333
"1209","K. Baumann","Tabhu Striary","FWMF","Solemn Leopards",25,"B","2021",11.3565
"708","B. Male","Nganion","FWMF","Horrible Bison",22,"E","2020",11.3573333333333
"176","C. Ochen","Central Diasongo","MFFW","Hideous Pioneers",31,"B","2020",11.3648666666667
"912","B. Sugawara","Greri Landmoslands","FWMF","Marvelous Coyotes",24,"RFL","2020",11.3679666666667
"1880","H. Vos","Rarita","MFFW","Red Anchormen",26,"RFL","2021",11.3725
"600","C. Chauhan","Sobianitedrucy","MFFW","Punctual Fire",25,"D","2020",11.3731333333333
"1482","V. Roger","Esia","DFFW","Wicked Gentlefolk",19,"C","2021",11.3788
"1003","X. Nazari","Ingre","DFFW","Old Mustangs",24,"A","2021",11.3796333333333
"435","H. Nagy","Western Niasland","FW","Spicy Gophers",26,"C","2020",11.3818333333333
"101","L. Musoki","People's Land of Maneau","FW","Solemn Cougars",32,"A","2020",11.3892333333333
"1401","I. Kyakimwa","Lefghau","FW","Silver Frogs",26,"C","2021",11.3976666666667
"192","N. Lee","Landli Blicporlip","FWMF","Jumping Beans",28,"B","2020",11.4045333333333
"1713","O. Manhica","Nganion","FW","Mad Bees",29,"E","2021",11.4056333333333
"1199","W. Salamah","Lefghau","DFFW","Solemn Leopards",18,"B","2021",11.4076666666667
"415","X. Pavlovi?","Nganion","DFFW","Serious Cyclones",19,"C","2020",11.4103333333333
"181","Y. Kabiru","Dosqaly","MFFW","Hideous Pioneers",21,"B","2020",11.4237333333333
"934","J. Bala","People's Land of Maneau","DFFW","Fanatical Outlaws",27,"A","2021",11.4237666666667
"173","O. Dumitru","Dosqaly","FW","Hideous Pioneers",26,"B","2020",11.4245
"680","F. bin Zakaria","Nganion","MFFW","Deferred Dolphins",25,"E","2020",11.4253
"75","D. Masereka","Ngoque Blicri","MFFW","Odd Ducks",25,"A","2020",11.4276666666667
"1128","E. Tahirovi?","Dosqaly","FW","Mean Colts",23,"B","2021",11.4281666666667
"853","M. Nanzala","Nganion","MFFW","Ultimate Penguins",38,"E","2020",11.4287333333333
"1773","Q. Vuji?","Reugha","DFFW","Rabid Greyhounds",25,"E","2021",11.4288
"1854","W. Barbieri","Rarita","FW","Educated Avengers",30,"RFL","2021",11.4307666666667
"132","I. Waiswa","Esia","MFFW","Sugar Storm",25,"A","2020",11.4310666666667
"1104","U. Oyella","Dosqaly","MFFW","Golden Rustlers",33,"B","2021",11.4317
"1672","D. Law","Nganion","MFFW","Delta Colts",29,"E","2021",11.4359666666667
"1301","R. Mbeiza","Slandsganiamayotteque","FWMF","Awkward Trailblazers",20,"C","2021",11.4372666666667
"467","W. D'amico","Dosqaly","MFFW","Ultimate Dolphins",19,"C","2020",11.4399333333333
"1691","K. Quarshie","Nganion","FW","Hideous Spiders",23,"E","2021",11.4433666666667
"801","C. Said","Nganion","MFFW","Sassy Knights",26,"E","2020",11.4471333333333
"787","M. Mubangizi","Greri Landmoslands","FWMF","Running Bigfoots",23,"E","2020",11.4541666666667
"1493","O. K?rkli?š","Esia","MFFW","Wicked Gentlefolk",27,"C","2021",11.4581
"1362","M. Yanti","Ledian","MFFW","Mean Trolls",22,"C","2021",11.4598
"786","U. Woo","Nganion","FW","Running Bigfoots",32,"E","2020",11.4615333333333
"697","P. Susanto","Lefghau","FWMF","Festive Governors",26,"E","2020",11.466
"1349","P. Ma","Esia","FWMF","Marvelous Anchors",26,"C","2021",11.4717666666667
"96","W. Markovi?","Nancipenuaroe","FWMF","Silver Heels",27,"A","2020",11.4739333333333
"1180","A. Tushabomwe","New Somoe","FWMF","Simple Jayhawks",24,"B","2021",11.4788
"1469","E. Hor","Nganion","DFFW","White Firebirds",23,"C","2021",11.4838666666667
"820","J. Maneno","Nganion","FWMF","Serious Magicians",26,"E","2020",11.4924
"17","F. Cho","Southern Ristan","FWMF","Fighting Cougars",24,"A","2020",11.4935333333333
"1771","U. Woo","Nganion","MFFW","Punctual Leopards",33,"E","2021",11.4949666666667
"1663","G. Eng","Zamlie Niabangthe","FWMF","Deferred Dolphins",27,"E","2021",11.4974
"274","E. Fujiwara","Former Maneau","MFFW","Supreme Janes",25,"B","2020",11.5040333333333
"678","Z. Nakiwala","Rarita","FWMF","Deferred Dolphins",23,"E","2020",11.5055666666667
"701","R. Giordano","Nganion","FW","Flying Penguins",37,"E","2020",11.5064333333333
"1264","D. Businge","Greri Landmoslands","FWMF","Villainous Eagles",23,"B","2021",11.5079
"862","B. Madondo","Rarita","FWMF","Black Coyotes",24,"RFL","2020",11.5079333333333
"1269","P. Khoh","Mico","FW","Weak Blimps",22,"B","2021",11.5084666666667
"1644","T. Hashim","Nganion","FW","Big Foxes",34,"E","2021",11.5086666666667
"1190","C. Shumba","Cabral Retrea","FWMF","Simple Privateers",21,"B","2021",11.5107666666667
"1742","X. Sung","Lylimi","MFFW","Orange Giants",32,"E","2021",11.5111666666667
"1512","G. Lubis","Dosqaly","FWMF","Coy Sunbirds",22,"D","2021",11.5193333333333
"1113","K. Imai","Pierrema","FWMF","Grotesque Rocks",28,"B","2021",11.5216333333333
"1722","K. Umar","Nganion","DFFW","Mad Kingsmen",20,"E","2021",11.5225
"1224","K. Macuacua","Dosqaly","MFFW","Supreme Janes",24,"B","2021",11.5237666666667
"1324","A. Ngabirano","Xikong","FWMF","Fiery Governors",26,"C","2021",11.5262666666667
"1492","J. Hui","Esia","MFFW","Wicked Gentlefolk",33,"C","2021",11.5266
"1787","P. bin Ibrahim","Nganion","FW","Running Bigfoots",26,"E","2021",11.5292666666667
"1306","G. Leclercq","Dosqaly","FW","Blue Jaguars",18,"C","2021",11.5294333333333
"889","O. Wong","Rarita","FW","Great Pandas",22,"RFL","2020",11.5322666666667
"106","R. De Wit","Lefghau","FW","Somber Bombers",22,"A","2020",11.5326
"1424","U. Den","Greri Landmoslands","FW","Supreme Jaguars",25,"C","2021",11.5424
"1498","Z. Shaikh","Dosqaly","FWMF","Coy Catamarans",30,"D","2021",11.5443666666667
"38","Y. Torres","Rarita","MFFW","Green Fleet",23,"A","2020",11.5448
"1778","D. Akugizibwe","Imaar Vircoand","MFFW","Rabid Greyhounds",31,"E","2021",11.5475666666667
"256","K. Sekh","Republic of Denand Landsa","FW","Somber Stallions",20,"B","2020",11.5522
"846","U. Jansons","Nganion","FW","Ultimate Penguins",25,"E","2020",11.5527333333333
"1295","B. Ionescu","Esia","FWMF","Awkward Trailblazers",18,"C","2021",11.5546333333333
"242","S. Oroma","Dosqaly","MFFW","Simple Privateers",20,"B","2020",11.5552666666667
"1077","B. Zheng","Imaar Vircoand","FW","Flawless Cows",27,"B","2021",11.5595
"1844","T. Tal","Rarita","FW","Black Coyotes",34,"RFL","2021",11.564
"1626","R. Namande","Nganion","FWMF","Strange Pioneers",33,"D","2021",11.5715333333333
"138","X. Nabaggala","Biarizea","MFFW","Swift Musketeers",25,"A","2020",11.5721666666667
"1096","M. Reilly","Dosqaly","FW","Golden Rustlers",18,"B","2021",11.5728333333333
"592","I. Roy","Sobianitedrucy","FW","Punctual Fire",37,"D","2020",11.5738
"1033","H. Mubaiwa","Rarita","FW","Solemn Cougars",32,"A","2021",11.5740333333333
"1789","F. Among","Biarizea","FWMF","Running Bigfoots",24,"E","2021",11.5780333333333
"317","J. Khosravi","Dosqaly","MFFW","Weak Blimps",22,"B","2020",11.5803
"99","T. Mguni","Esia","MFFW","Silver Heels",23,"A","2020",11.5809666666667
"947","R. binti Hassan","Southslands","FW","Fighting Cougars",20,"A","2021",11.5838666666667
"301","E. Rashidi","Landli Blicporlip","MFFW","Unethical Comets",27,"B","2020",11.5900666666667
"470","U. Duval","Byasier Pujan","FW","Ultimate Longhorns",30,"C","2020",11.5907333333333
"1328","T. Nakku","Byasier Pujan","DFFW","Horrible Flames",19,"C","2021",11.5916
"1783","O. Wong","Biarizea","FW","Running Bigfoots",23,"E","2021",11.6007
"1674","V. Nakiyemba","Northern Namemo Laand","MFFW","Delta Colts",34,"E","2021",11.6054333333333
"1370","O. Kayongo","Esia","FWMF","Punctual Archers",32,"C","2021",11.6055333333333
"1668","L. Bogere","Nganion","FW","Delta Colts",29,"E","2021",11.6103333333333
"361","I. Peeters","Giumle Lizeibon","FW","Fiery Governors",27,"C","2020",11.6106333333333
"1810","N. Kumar","Nganion","MFFW","Screaming Ramblers",19,"E","2021",11.6117333333333
"589","S. Lutaaya","Dosqaly","MFFW","Mighty Monkeys",21,"D","2020",11.6127333333333
"436","A. Blanchard","Esia","FWDF","Spicy Gophers",19,"C","2020",11.6140333333333
"1436","J. Muianga","Biarizea","MFFW","Supreme Jaguars",23,"C","2021",11.6165333333333
"204","K. Tukamushaba","Reugha","FWMF","Lady Ocelots",23,"B","2020",11.6205666666667
"133","D. Obeng","Ngoque Blicri","FW","Swift Musketeers",23,"A","2020",11.6212333333333
"346","R. Nimusiima","Giumle Lizeibon","MFFW","Awkward Trailblazers",32,"C","2020",11.6213333333333
"1819","B. Kansiime","Nganion","MFFW","Serious Magicians",25,"E","2021",11.6269333333333
"1804","Y. Arinitwe","Nganion","MFFW","Sassy Knights",20,"E","2021",11.6368
"391","N. Nowak","Cuandbo","FW","Mean Trolls",30,"C","2020",11.6376
"601","W. Namata","Nkasland Cronestan","FW","Red Rangers",24,"D","2020",11.6384
"1850","M. Arifin","Unicorporated Tiagascar","MFFW","Black Coyotes",26,"RFL","2021",11.6406666666667
"1881","Z. Cumbe","Rarita","MFFW","Red Anchormen",35,"RFL","2021",11.6451333333333
"852","I. Babirye","Nganion","MFFW","Ultimate Penguins",21,"E","2020",11.6539
"326","A. Mwesige","Eastern Niasland","FW","Wet Monarchs",22,"B","2020",11.6565
"1356","B. Alali","Esia","FW","Mean Trolls",29,"C","2021",11.6618
"1119","O. Ghanbari","Coastpa Barleslands","FWMF","Jumping Beans",23,"B","2021",11.6637666666667
"629","A. Hughes","Ledian","MFFW","Rowdy Clippers",22,"D","2020",11.6665
"328","M. Maimon","Dosqaly","FWMF","Wet Monarchs",31,"B","2020",11.6706666666667
"709","O. Rodrigues","Nganion","FWMF","Horrible Bison",27,"E","2020",11.6772
"761","X. Mubiru","Nganion","FW","Polar Kangaroos",30,"E","2020",11.6862666666667
"1660","B. Mtonga","Nganion","FWMF","Deferred Dolphins",28,"E","2021",11.6876333333333
"314","X. Lim","Tabhu Striary","FWDF","Weak Blimps",22,"B","2020",11.6882666666667
"792","F. Rozman","Imaar Vircoand","FW","Sassy Knights",25,"E","2020",11.6900333333333
"1580","O. Zieli?ski","Sobianitedrucy","FWMF","Mean Wolves",30,"D","2021",11.6922333333333
"1592","O. Roth","Sobianitedrucy","FW","Red Rangers",27,"D","2021",11.6934666666667
"764","J. Khoh","Nganion","MFFW","Polar Kangaroos",24,"E","2020",11.6937666666667
"446","V. Okongo","Esia","MFFW","Spicy Gophers",29,"C","2020",11.6956
"674","R. Najafi","Western Niasland","FW","Deferred Dolphins",33,"E","2020",11.6976666666667
"831","L. Kagoya","Nganion","MFFW","Swift Bison",20,"E","2020",11.7011666666667
"1418","V. Okongo","Esia","MFFW","Spicy Gophers",30,"C","2021",11.7042333333333
"57","K. Namuwaya","People's Land of Maneau","FWMF","Horrible Storm",23,"A","2020",11.7074333333333
"1572","C. Alum","Rosvi","MFFW","Marvelous Patriots",28,"D","2021",11.714
"182","I. Harawa","Southern Viout Aman","MFFW","Hideous Pioneers",31,"B","2020",11.7188
"1894","L. Tarigan","Rarita","FW","Strong Oaks",31,"RFL","2021",11.7189666666667
"921","F. Aliganyira","Lefghau","FWMF","Walking Runners",17,"RFL","2020",11.7239666666667
"1450","Q. Khumalo","Esia","FWDF","Ultimate Longhorns",22,"C","2021",11.7387666666667
"973","G. Hartmann","Byasier Pujan","MFFW","Green Fleet",23,"A","2021",11.7443666666667
"1352","L. Wasswa","Landli Blicporlip","MFFW","Marvelous Anchors",26,"C","2021",11.7470666666667
"392","R. Acheampong","Esia","FW","Mean Trolls",30,"C","2020",11.7517666666667
"610","E. Omer","Nancipenuaroe","MFFW","Red Rangers",28,"D","2020",11.7518
"1752","J. Munguambe","Nganion","MFFW","Plane Janes",26,"E","2021",11.758
"357","O. Kantono","Esia","MFFW","Blue Jaguars",28,"C","2020",11.7620333333333
"1813","E. Mudzingwa","Rarita","FW","Serious Magicians",26,"E","2021",11.7622333333333
"1712","U. Nyakaisiki","Nganion","MFFW","Horrible Bison",18,"E","2021",11.7629666666667
"411","M. Kiiza","Mico","MFFW","Punctual Archers",23,"C","2020",11.7702
"557","H. Tumukunde","Southern Ristan","MFFW","Hideous Spartans",31,"D","2020",11.7756
"1194","J. Kirabo","Dosqaly","FWMF","Simple Privateers",34,"B","2021",11.7789
"458","K. Yousef","Esia","DFFW","Ultimate Dolphins",18,"C","2020",11.7928666666667
"1207","S. Abdullahi","Dosqaly","FWMF","Solemn Leopards",27,"B","2021",11.7945333333333
"1214","K. Guillaume","Dosqaly","MFFW","Somber Stallions",22,"B","2021",11.8010333333333
"835","L. Maleki","Imaar Vircoand","FW","Swift Marauders",28,"E","2020",11.804
"707","K. Lowe","Dosqaly","FWDF","Horrible Bison",19,"E","2020",11.8051666666667
"1720","J. bin Hashim","Nganion","MFFW","Mad Bees",23,"E","2021",11.8110333333333
"1172","H. Munetsi","Pierrema","MFFW","Serious Thunderbirds",30,"B","2021",11.814
"1902","D. Nasser","Nganion","FW","Wild Hornets",24,"RFL","2021",11.8146
"646","A. Nanjala","Western Niasland","MFFW","Spicy Pointers",20,"D","2020",11.8165666666667
"203","T. Dehghan","Lenia Gerdanho","FWMF","Lady Ocelots",24,"B","2020",11.8170333333333
"1646","B. Nura","Boland Laynga","FWMF","Big Foxes",27,"E","2021",11.8174
"71","P. Biira","People's Land of Maneau","FWMF","Odd Ducks",21,"A","2020",11.8235
"784","F. Lubowa","Newgan Ruland","FW","Running Bigfoots",31,"E","2020",11.8328333333333
"1622","Z. Kebirungi","Central Diasongo","FW","Strange Pioneers",22,"D","2021",11.8346666666667
"643","A. Patal","Sobianitedrucy","FWMF","Spicy Pointers",28,"D","2020",11.8366666666667
"716","J. Taylor","Nganion","FWMF","Mad Bees",32,"E","2020",11.838
"1847","D. Makumbi","Rarita","FWMF","Black Coyotes",18,"RFL","2021",11.8413
"1023","I. Mlambo","Redohrainbri","MFFW","Punctual Rustlers",28,"A","2021",11.8457
"1534","G. Abdi","Danan Seekeeling","FW","Flying Bombadiers",29,"D","2021",11.8460666666667
"7","W. Lew","Nganion","MFFW","Fanatical Outlaws",23,"A","2020",11.8461
"1188","O. Martini","Tercapetralgrorus","FW","Simple Privateers",24,"B","2021",11.8472
"922","V. Taheri","People's Land of Maneau","FWMF","Walking Runners",28,"RFL","2020",11.8517333333333
"1257","P. Kamya","Dosqaly","FW","Villainous Eagles",27,"B","2021",11.8533666666667
"8","M. Namukwaya","Ngoque Blicri","MFFW","Fanatical Outlaws",31,"A","2020",11.8541
"1081","C. Asiku","Dosqaly","FWMF","Flawless Cows",19,"B","2021",11.8545333333333
"748","S. Wahab","Nganion","FW","Plane Janes",18,"E","2020",11.8603666666667
"1121","C. Nafuna","Dosqaly","MFFW","Jumping Beans",23,"B","2021",11.8610333333333
"341","K. Ozols","Esia","FWMF","Awkward Trailblazers",25,"C","2020",11.8630666666667
"664","L. Novák","Sobianitedrucy","FW","Wet Flames",28,"D","2020",11.8689333333333
"19","N. Mousa","Cabral Retrea","MFFW","Fighting Cougars",26,"A","2020",11.8718
"692","P. Peh","Dosqaly","FW","Festive Governors",22,"E","2020",11.8834
"873","W. Barbieri","Rarita","FW","Educated Avengers",29,"RFL","2020",11.8854666666667
"521","T. Nasution","Bernepamar","MFFW","Deranged Defenders",28,"D","2020",11.8861333333333
"1707","O. Rodrigues","Nganion","FWMF","Horrible Bison",28,"E","2021",11.8875666666667
"677","H. Oravec","Nganion","FWMF","Deferred Dolphins",19,"E","2020",11.8881333333333
"1040","B. Maturu","People's Land of Maneau","FW","Somber Bombers",28,"A","2021",11.8910666666667
"944","H. Tourgeman","Rarita","MFFW","Fanatical Outlaws",27,"A","2021",11.8917333333333
"904","I. Waiswa","Rarita","FWMF","Mad Cardinals",25,"RFL","2020",11.9048333333333
"856","G. Muleya","Manlisgamncent","FW","Black Coyotes",25,"RFL","2020",11.9067
"1303","K. Ozols","Esia","MFFW","Awkward Trailblazers",26,"C","2021",11.9105
"347","S. Armah","Mico","DFFW","Blue Jaguars",23,"C","2020",11.9138666666667
"605","A. Anwar","Dosqaly","FWMF","Red Rangers",27,"D","2020",11.9182666666667
"1364","K. Yousef","Esia","FW","Punctual Archers",19,"C","2021",11.9202
"1831","P. Kralj","Nganion","FW","Ultimate Penguins",27,"E","2021",11.9263333333333
"714","O. Manhica","Nganion","FW","Mad Bees",28,"E","2020",11.9312
"730","B. Yang","Manlisgamncent","FW","Mighty Jimmies",28,"E","2020",11.933
"440","M. Almalki","Esia","FWMF","Spicy Gophers",17,"C","2020",11.9332333333333
"925","B. Quaye","Rarita","FW","Wild Hornets",21,"RFL","2020",11.9398
"1650","M. Gómez","Nganion","FWMF","Big Foxes",22,"E","2021",11.9405666666667
"137","S. Sarpong","Southslands","FW","Swift Musketeers",32,"A","2020",11.9418
"413","O. Mapfumo","Biarizea","DFFW","Serious Cyclones",20,"C","2020",11.9441666666667
"1115","O. Soleimani","Dosqaly","MFFW","Grotesque Rocks",22,"B","2021",11.9446333333333
"843","L. Bergmann","Nganion","MFFW","Swift Marauders",27,"E","2020",11.9463666666667
